steady_state,pop_size,elitism,keep_best,k_tournament,xover_prob,xover_type,learning_rate,epsilon,construction,mutation_prob,mutation_type,reversal_percent,non_improving_iterations,rtype,allways_keep,approx_calc,crowding_scale,k_nearest,distance_metric
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,1000,Mutate,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,1000,Random,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,1000,GCH,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,3000,Mutate,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,3000,Random,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,3000,GCH,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,5000,Mutate,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,5000,Random,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,5000,GCH,0.8,300,0.0,20,DeviationDistance
true,150,2,0.8,2,0.5,QLearning,0.2,0.25,1.0,0.1,Random,10,0,No Replacement,0.8,300,0.0,20,DeviationDistance
